"Cell_Line","Temperature","Time","Rep","Area","Batch","Incubator"
"X2931",25.1,10,0,1.18083354572275,"3","B"
"X2931",25.1,10,1,1.7624585266077,"3","B"
"X2931",25.1,10,2,1.59891667411233,"3","B"
"X2931",25.1,10,3,1.45329181746315,"3","B"
"X2931",25.1,10,4,1.44025011469028,"3","B"
"X2931",25.1,10,5,1.75791667740121,"3","B"
"X2931",25.1,10,6,1.00162498088495,"3","B"
"X2931",25.1,10,7,1.21362513380533,"3","B"
"X2931",25.1,22,0,3.93444824903266,"3","B"
"X2931",25.1,22,1,5.14355553907385,"3","B"
"X2931",25.1,22,2,4.25169438276922,"3","B"
"X2931",25.1,22,3,4.6047926264269,"3","B"
"X2931",25.1,22,4,4.26490838853637,"3","B"
"X2931",25.1,22,5,4.39678353453118,"3","B"
"X2931",25.1,22,6,2.72806008616449,"3","B"
"X2931",25.1,22,7,3.36565871990131,"3","B"
"X2931",25.1,28,0,6.25004962979342,"3","B"
"X2931",25.1,28,1,7.75785062292489,"3","B"
"X2931",25.1,28,2,6.33678840440526,"3","B"
"X2931",25.1,28,3,7.12912626614533,"3","B"
"X2931",25.1,28,4,6.74093070807019,"3","B"
"X2931",25.1,28,5,6.39475274819148,"3","B"
"X2931",25.1,28,6,4.17837800821918,"3","B"
"X2931",25.1,28,7,4.96120613296224,"3","B"
"X2931",25.1,34,0,9.95423823300271,"3","B"
"X2931",25.1,34,1,11.612908322765,"3","B"
"X2931",25.1,34,2,10.1857540528657,"3","B"
"X2931",25.1,34,3,11.0329392070473,"3","B"
"X2931",25.1,34,4,10.8072911207288,"3","B"
"X2931",25.1,34,5,9.57449604686079,"3","B"
"X2931",25.1,34,6,6.46668880891052,"3","B"
"X2931",25.1,34,7,7.0561440273312,"3","B"
"X2931",25.1,46,0,21.2204065322705,"3","B"
"X2931",25.1,46,1,24.6954790425639,"3","B"
"X2931",25.1,46,2,24.2441045553558,"3","B"
"X2931",25.1,46,3,24.2835266445233,"3","B"
"X2931",25.1,46,4,22.1154610842065,"3","B"
"X2931",25.1,46,5,21.7586180265349,"3","B"
"X2931",25.1,46,6,14.0613987556567,"3","B"
"X2931",25.1,46,7,13.9617976360138,"3","B"
"X2931",25.1,52,0,28.6453290043003,"3","B"
"X2931",25.1,52,1,33.921081434225,"3","B"
"X2931",25.1,52,2,33.250883126101,"3","B"
"X2931",25.1,52,3,31.9918606845005,"3","B"
"X2931",25.1,52,4,29.7978611831773,"3","B"
"X2931",25.1,52,5,30.7565071391427,"3","B"
"X2931",25.1,52,6,19.2483057321193,"3","B"
"X2931",25.1,52,7,19.613661858502,"3","B"
"X2931",25.1,58,0,35.4904877791656,"3","B"
"X2931",25.1,58,1,43.2638398852957,"3","B"
"X2931",25.1,58,2,40.4658839541352,"3","B"
"X2931",25.1,58,3,39.7240368197983,"3","B"
"X2931",25.1,58,4,38.2138182770256,"3","B"
"X2931",25.1,58,5,37.9461831606299,"3","B"
"X2931",25.1,58,6,25.7160659114235,"3","B"
"X2931",25.1,58,7,26.6279939138185,"3","B"
"X2931",25.1,70,0,49.8483923533033,"3","B"
"X2931",25.1,70,1,61.7238335432583,"3","B"
"X2931",25.1,70,2,54.2885466520318,"3","B"
"X2931",25.1,70,3,55.7667783310447,"3","B"
"X2931",25.1,70,4,53.4918421719944,"3","B"
"X2931",25.1,70,5,53.5805889386893,"3","B"
"X2931",25.1,70,6,38.8050145435842,"3","B"
"X2931",25.1,70,7,42.9725476627273,"3","B"
"X2931",25.1,76,0,58.4444278827787,"3","B"
"X2931",25.1,76,1,70.6204552762863,"3","B"
"X2931",25.1,76,2,59.9340504884089,"3","B"
"X2931",25.1,76,3,64.1330123202466,"3","B"
"X2931",25.1,76,4,62.2525121880242,"3","B"
"X2931",25.1,76,5,62.7526114852764,"3","B"
"X2931",25.1,76,6,46.8095274378472,"3","B"
"X2931",25.1,76,7,51.3287307752419,"3","B"
"X2931",25.1,82,0,66.4271263641397,"3","B"
"X2931",25.1,82,1,79.551388175721,"3","B"
"X2931",25.1,82,2,65.7087324301097,"3","B"
"X2931",25.1,82,3,72.4715038357693,"3","B"
"X2931",25.1,82,4,70.6594005303404,"3","B"
"X2931",25.1,82,5,71.7500090916025,"3","B"
"X2931",25.1,82,6,54.5757990658353,"3","B"
"X2931",25.1,82,7,59.6827644486445,"3","B"
"X2931",25.1,94,0,82.2176473926443,"3","B"
"X2931",25.1,94,1,96.9157805408833,"3","B"
"X2931",25.1,94,2,79.3021140552054,"3","B"
"X2931",25.1,94,3,88.0519274620394,"3","B"
"X2931",25.1,94,4,86.6277500068056,"3","B"
"X2931",25.1,94,5,89.7033785314097,"3","B"
"X2931",25.1,94,6,69.5725343630452,"3","B"
"X2931",25.1,94,7,76.4469347981127,"3","B"
"X2931",25.1,100,0,89.8637452841516,"3","B"
"X2931",25.1,100,1,105.370441153948,"3","B"
"X2931",25.1,100,2,86.4356001409809,"3","B"
"X2931",25.1,100,3,95.7941774475101,"3","B"
"X2931",25.1,100,4,94.45307033016,"3","B"
"X2931",25.1,100,5,99.0887131215763,"3","B"
"X2931",25.1,100,6,76.8316097019857,"3","B"
"X2931",25.1,100,7,84.7036896931232,"3","B"
"X2931",25.1,106,0,97.3235602234084,"3","B"
"X2931",25.1,106,1,113.687929120378,"3","B"
"X2931",25.1,106,2,93.5068539806705,"3","B"
"X2931",25.1,106,3,103.40968725835,"3","B"
"X2931",25.1,106,4,102.181336488163,"3","B"
"X2931",25.1,106,5,108.404086316563,"3","B"
"X2931",25.1,106,6,84.0420564686407,"3","B"
"X2931",25.1,106,7,92.8765822713259,"3","B"
"X2931",25.2,0,0,0,"1","T"
"X2931",25.2,0,1,0,"1","T"
"X2931",25.2,0,2,0,"1","T"
"X2931",25.2,0,3,0,"1","T"
"X2931",25.2,0,4,0,"1","T"
"X2931",25.2,0,5,0,"1","T"
"X2931",25.2,0,6,0,"1","T"
"X2931",25.2,0,7,0,"1","T"
"X2931",25.2,2,0,0.147,"1","T"
"X2931",25.2,2,1,0.276,"1","T"
"X2931",25.2,2,2,0.249,"1","T"
"X2931",25.2,2,3,0.106,"1","T"
"X2931",25.2,2,4,0.197,"1","T"
"X2931",25.2,2,5,0.172,"1","T"
"X2931",25.2,2,6,0.213,"1","T"
"X2931",25.2,2,7,0.145,"1","T"
"X2931",25.2,8,0,0.631250011000016,"1","T"
"X2931",25.2,8,1,1.1354167143334,"1","T"
"X2931",25.2,8,2,0.989000044000065,"1","T"
"X2931",25.2,8,3,0.58583303266622,"1","T"
"X2931",25.2,8,4,0.811916648333306,"1","T"
"X2931",25.2,8,5,0.712166703333388,"1","T"
"X2931",25.2,8,6,0.900083351666694,"1","T"
"X2931",25.2,8,7,0.606333318666645,"1","T"
"X2931",25.2,20,0,2.09838969881954,"1","T"
"X2931",25.2,20,1,3.34750001400889,"1","T"
"X2931",25.2,20,2,3.19262963607205,"1","T"
"X2931",25.2,20,3,1.70274064551202,"1","T"
"X2931",25.2,20,4,2.45294443486202,"1","T"
"X2931",25.2,20,5,2.27418556620448,"1","T"
"X2931",25.2,20,6,2.71590773844733,"1","T"
"X2931",25.2,20,7,1.76129629007043,"1","T"
"X2931",25.2,26,0,3.30020402471404,"1","T"
"X2931",25.2,26,1,4.84758442628749,"1","T"
"X2931",25.2,26,2,5.1289176935846,"1","T"
"X2931",25.2,26,3,2.61270667589152,"1","T"
"X2931",25.2,26,4,3.77199587792761,"1","T"
"X2931",25.2,26,5,3.63846884712092,"1","T"
