"","Condition","Temperature","Colony","Rep","OD","Area"
"259","P","20","2","4",1.293,81.170479479817
"260","P","20","2","5",1.58,84.883244858451
"261","P","37","3","1",0.767,65.1162567670712
"262","P","37","3","2",0.662,54.7261336653373
"263","P","37","3","3",0.564,46.1822741852241
"264","P","37","3","4",0.579,54.1330798816393
"265","P","37","3","5",0.814,78.4604403732334
"266","P","20","3","1",1.04,83.4886062241136
"267","P","20","3","2",0.943,88.3177509250093
"268","P","20","3","3",1.032,91.9009327522934
"269","P","20","3","4",1.019,90.3982246448863
"270","P","20","3","5",1.096,77.0988468714966
"271","P","37","4","1",1.185,89.9779973610806
"272","P","37","4","2",1.355,100.99350129543
"273","P","37","4","3",1.459,106.859934728678
"274","P","37","4","4",1.013,79.4527101046075
"275","P","37","4","5",1.654,122.9669055163
"276","P","20","4","1",1.373,105.528555360485
"277","P","20","4","2",1.239,106.189274643456
"278","P","20","4","3",1.511,103.731224264843
"279","P","20","4","4",1.445,99.1155527745081
"280","P","20","4","5",1.544,100.910923315683
"281","P","37","5","1",1.17,81.7185352721178
"282","P","37","5","2",1.474,108.253328129553
"283","P","37","5","3",1.75,127.032313790108
"284","P","37","5","4",1.388,101.052452946882
"285","P","37","5","5",1.149,80.2477443984229
"286","P","20","5","1",1.198,78.7251920252564
"287","P","20","5","2",1.087,78.1884588103993
"288","P","20","5","3",1.119,72.9813592463819
"289","P","20","5","4",1.143,76.3809773647936
"290","P","20","5","5",1.16,82.4717374001921
"291","P","37","6","1",1.171,95.0890359205581
"292","P","37","6","2",1.418,113.915193237921
"293","P","37","6","3",1.044,90.2322735105283
"294","P","37","6","4",1.138,90.9844401663915
"295","P","37","6","5",1.35,96.6084277603482
"296","P","20","6","1",0.951,76.154352618992
"297","P","20","6","2",1.641,82.6677922143855
"298","P","20","6","3",1.193,77.0196729578726
"299","P","20","6","4",1.368,71.6979813531861
"300","P","20","6","5",0.905,65.8317639730152
"301","P","37","7","1",0.867,67.1510290744827
"302","P","37","7","2",0.957,77.1899658914382
"303","P","37","7","3",0.848,66.9941159512885
"304","P","37","7","4",0.759,62.5640464860374
"305","P","37","7","5",0.88,68.9481820414532
"306","P","20","7","1",0.957,72.3555034928481
"307","P","20","7","2",1.028,83.4977699531357
"308","P","20","7","3",1.194,85.1863273796648
"309","P","20","7","4",1.009,80.4591004901906
"310","P","20","7","5",1.177,87.4976047770775
"311","P","37","8","1",1.034,82.3025561563743
"312","P","37","8","2",0.92,76.895884941557
"313","P","37","8","3",1.109,86.9754300306791
"314","P","37","8","4",1.246,93.425534733584
"315","P","37","8","5",1.119,83.4225273060938
"316","P","20","8","1",1.223,92.7862378241082
"317","P","20","8","2",1.384,81.9420595990436
"318","P","20","8","3",1.123,93.0418945024221
"319","P","20","8","4",1.185,94.9409339204499
"320","P","20","8","5",1.296,95.7550480194973
"321","P","37","9","1",1.446,103.758571727117
"322","P","37","9","2",1.627,109.697365070931
"323","P","37","9","3",1.414,88.4675202194643
"324","P","37","9","4",1.251,87.6718661822935
"325","P","37","9","5",1.159,97.9513615109159
"326","P","20","9","1",1.035,85.0775777752867
"327","P","20","9","2",1.237,87.0413440355298
"328","P","20","9","3",1.225,96.536063959033
"329","P","20","9","4",1.119,90.778380711507
"330","P","20","9","5",1.221,80.2311490537217
"331","P","37","10","1",1.019,78.3967913532178
"332","P","37","10","2",1.214,86.0045789681614
"333","P","37","10","3",1.044,87.1012821339532
