"","Cell_Line","Temperature","Time","Rep","Area","Batch","Incubator","Day"
"127","CC1690",16,127,6,44.1827978322748,"1","B",NA
"128","CC1690",16,127,7,67.858803803571,"1","B",NA
"129","CC1690",16,151,0,93.0763467929619,"1","B",NA
"130","CC1690",16,151,1,116.207410792213,"1","B",NA
"131","CC1690",16,151,2,61.2051600401502,"1","B",NA
"132","CC1690",16,151,3,119.912870417952,"1","B",NA
"133","CC1690",16,151,4,81.8826823618522,"1","B",NA
"134","CC1690",16,151,5,86.1620676496195,"1","B",NA
"135","CC1690",16,151,6,74.0783276768285,"1","B",NA
"136","CC1690",16,151,7,107.128394437346,"1","B",NA
"137","CC1690",16,164,0,112.564822830377,"1","B",NA
"138","CC1690",16,164,1,135.995746497747,"1","B",NA
"139","CC1690",16,164,2,82.3444734339282,"1","B",NA
"140","CC1690",16,164,3,142.81389473676,"1","B",NA
"141","CC1690",16,164,4,100.194386142776,"1","B",NA
"142","CC1690",16,164,5,101.07918398903,"1","B",NA
"143","CC1690",16,164,6,92.7515042905611,"1","B",NA
"144","CC1690",16,164,7,129.235530148347,"1","B",NA
"145","CC1690",20,0,0,0,"2","T","0"
"146","CC1690",20,0,1,0,"2","T","0"
"147","CC1690",20,0,2,0,"2","T","0"
"148","CC1690",20,0,3,0,"2","T","0"
"149","CC1690",20,0,4,0,"2","T","0"
"150","CC1690",20,0,5,0,"2","T","0"
"151","CC1690",20,0,6,0,"2","T","0"
"152","CC1690",20,0,7,0,"2","T","0"
"153","CC1690",20,4,0,0.454,"2","T",NA
"154","CC1690",20,4,1,0.858,"2","T",NA
"155","CC1690",20,4,2,0.58,"2","T",NA
"156","CC1690",20,4,3,0.554,"2","T",NA
"157","CC1690",20,4,4,0.742,"2","T",NA
"158","CC1690",20,4,5,0.438,"2","T",NA
"159","CC1690",20,4,6,0.428,"2","T",NA
"160","CC1690",20,4,7,0.388,"2","T",NA
"161","CC1690",20,10,0,1.13687509557524,"2","T",NA
"162","CC1690",20,10,1,2.110875401416,"2","T",NA
"163","CC1690",20,10,2,1.47550022938057,"2","T",NA
"164","CC1690",20,10,3,1.38145857758116,"2","T",NA
"165","CC1690",20,10,4,1.72579167514011,"2","T",NA
"166","CC1690",20,10,5,1.16804170277287,"2","T",NA
"167","CC1690",20,10,6,1.145,"2","T",NA
"168","CC1690",20,10,7,1.05274998725664,"2","T",NA
"169","CC1690",20,22,0,3.06679041422915,"2","T",NA
"170","CC1690",20,22,1,6.0630169382111,"2","T",NA
